"status","route","kind","file","bytes","sha256","domain","url"
"downloaded","existing","paper","papers/BlazePose_2006.10204.pdf","2533764","090710259c2160bcd144d47b6767c52c9d8b4f092c4211549881bab0707ad901","arxiv.org","https://arxiv.org/pdf/2006.10204"
"downloaded","existing","paper","papers/MediaPipe_Hands_2006.10214.pdf","2320595","4104e4288fe4c65b6f7bd0b7584a1c53863b71337b895856a53950c382439ded","arxiv.org","https://arxiv.org/pdf/2006.10214"
"downloaded","existing","mediapipe","docs/mediapipe_pose_landmarker_python.html","149410","6f3ad49d19629dc8f6440a863ee2a968cf5b9be79c51c101fda3a601136f1813","developers.google.com","https://developers.google.com/edge/mediapipe/solutions/vision/pose_landmarker/python"
"downloaded","existing","mediapipe","docs/mediapipe_pose_landmarker_overview.html","134920","f5d4f75724c960a0fe2bea1af270b1c3938823d62fb050fe3f8b5be103e3d9e7","developers.google.com","https://developers.google.com/edge/mediapipe/solutions/vision/pose_landmarker"
"downloaded","existing","mediapipe","docs/mediapipe_gesture_recognizer_overview.html","132127","b6de53e5e0cd5a6958f48e15e6fb874ec7dd8e2a4c1f0c051eba31f7794583f8","developers.google.com","https://developers.google.com/edge/mediapipe/solutions/vision/gesture_recognizer"
"downloaded","existing","mediapipe","docs/mediapipe_gesture_recognizer_python.html","157463","def54c62dfe6d57b6f41c3782aa353c9430ddb32fe0d4eb4d82a2b061cc0e9ff","developers.google.com","https://developers.google.com/edge/mediapipe/solutions/vision/gesture_recognizer/python"
"downloaded","existing","mediapipe","docs/mediapipe_custom_gesture_recognizer.html","145321","a8685b9efd3004840efa0b0406910e7f9e287f6c4574aeb60175864d3b5d6447","developers.google.com","https://developers.google.com/edge/mediapipe/solutions/customization/gesture_recognizer"
"downloaded","existing","mediapipe","docs/mediapipe_python_setup.html","126297","3d76395848afa9b26033bd808c55a016f2e213a05dc5e634d1032cd0a69e28be","developers.google.com","https://developers.google.com/edge/mediapipe/solutions/setup_python"
"downloaded","existing","mediapipe","docs/mediapipe_holistic_blog.html","174103","1ea9edf45129e7e30bd5a65483547b9e29a1c56afb7d08dc50df7eb58f379c82","research.google","https://research.google/blog/mediapipe-holistic-simultaneous-face-hand-and-pose-prediction-on-device/"
"downloaded","existing","model","models/pose_landmarker_full.task","9398198","4eaa5eb7a98365221087693fcc286334cf0858e2eb6e15b506aa4a7ecdcec4ad","storage.googleapis.com","https://storage.googleapis.com/mediapipe-models/pose_landmarker/pose_landmarker_full/float16/latest/pose_landmarker_full.task"
"downloaded","existing","model","models/gesture_recognizer.task","8373440","97952348cf6a6a4915c2ea1496b4b37ebabc50cbbf80571435643c455f2b0482","storage.googleapis.com","https://storage.googleapis.com/mediapipe-models/gesture_recognizer/gesture_recognizer/float16/latest/gesture_recognizer.task"
"downloaded","existing","ros2","docs/ros2_humble_install_ubuntu.html","71759","26c80f92fe6563b31c73b56d39d46d6da587c0f27c41d55acb19a1bdf4adf646","docs.ros.org","https://docs.ros.org/en/humble/Installation/Ubuntu-Install-Debs.html"
"downloaded","existing","ros2","docs/ros2_humble_tutorials.html","67093","72faf65f7e9db78e701cb24ad9f77caf882e9335b88a9d6ed1baee1099695f7f","docs.ros.org","https://docs.ros.org/en/humble/Tutorials.html"
"downloaded","existing","ros2","docs/ros2_python_pub_sub.html","105149","88b582175df39bb2d778458cd7f0b7cb370c627246cd212ff8b76861c6d51c1a","docs.ros.org","https://docs.ros.org/en/humble/Tutorials/Beginner-Client-Libraries/Writing-A-Simple-Py-Publisher-And-Subscriber.html"
"downloaded","existing","ros2","docs/ros2_create_package.html","99587","b3ea6ead9b282b2299d90870e2582f4c312f066f50ff54e8b54be187a8523ac3","docs.ros.org","https://docs.ros.org/en/humble/Tutorials/Beginner-Client-Libraries/Creating-Your-First-ROS2-Package.html"
"downloaded","existing","ros2","docs/ros2_python_parameters.html","96997","dde54b111f7de81fc7dc4c9e01c69cc9348c77c59f2501604ed2f9de826b5fd7","docs.ros.org","https://docs.ros.org/en/humble/Tutorials/Beginner-Client-Libraries/Using-Parameters-In-A-Class-Python.html"
"downloaded","direct","ros2","docs/ros2_rosbag2.html","75838","90735a34437754c5fe79e1f88a263618196f7267a50d64c516fa9633663189a4","docs.ros.org","https://docs.ros.org/en/humble/Tutorials/Beginner-CLI-Tools/Recording-And-Playing-Back-Data/Recording-And-Playing-Back-Data.html"
"downloaded","direct","robot","source/Panthera-HT_ROS2-humble.zip","17582885","3b6e1723951cebe6890c7b0a2db76c52464da1f6f5f71f16cc5f2a423917796f","github.com","https://github.com/HighTorque-Robotics/Panthera-HT_ROS2/archive/refs/heads/humble.zip"
"downloaded","existing","math","docs/scipy_rotation.html","77861","0d8945616336b856c45537bcb118a01cc778b9421a921e28201e06787554a052","docs.scipy.org","https://docs.scipy.org/doc/scipy/reference/generated/scipy.spatial.transform.Rotation.html"
"downloaded","existing","math","docs/scipy_slerp.html","34300","b8a05272146f0f5c51cd804bed276423738c14e45ca06a1c2631019d12a2c972","docs.scipy.org","https://docs.scipy.org/doc/scipy/reference/generated/scipy.spatial.transform.Slerp.html"
"failed","proxy","camera","docs/opencv_videocapture.html","0","","docs.opencv.org","https://docs.opencv.org/4.x/d8/dfe/classcv_1_1VideoCapture.html"
"downloaded","direct","camera-fallback","source/opencv_videoio.hpp","74919","8cb1e9fbab80c20c66e70fda54c9af2224e82b10f3b0cada081190eaa0689645","raw.githubusercontent.com","https://raw.githubusercontent.com/opencv/opencv/4.x/modules/videoio/include/opencv2/videoio.hpp"
"downloaded","direct","protocol","standards/RFC6455_WebSocket.txt","162067","765775326aee0ecca9b04bde3fd1f52932d498e33e34e428bd61b8a24da0fa3b","www.rfc-editor.org","https://www.rfc-editor.org/rfc/rfc6455.txt"
"downloaded","existing","protocol","docs/python_websockets.html","40380","75fce824ed1c6038df96f7865f350559963e16141c52fe0262e8809841c27a86","websockets.readthedocs.io","https://websockets.readthedocs.io/"
"downloaded","existing","wsl","docs/microsoft_wsl_install.html","62782","1448880154fd7b928fd0424410442243d72274afd2b702f8f1ab87a40d945f7b","learn.microsoft.com","https://learn.microsoft.com/windows/wsl/install"
"downloaded","existing","wsl","docs/microsoft_wsl_usb.html","56678","216a8dd8a592364994930c50ca7aa5b7be8d1ebbe3264d9235b8c02858f275d7","learn.microsoft.com","https://learn.microsoft.com/en-us/windows/wsl/connect-usb"
"downloaded","existing","tool","docs/git_homepage.html","6161","f2ea80c0c3e496ade0caa060b6d4d0f1beecd86fa49caa16e49087d8093f9014","git-scm.com","https://git-scm.com/"
